Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2/7/12,Albury,10.9,28.1,0,,,W,35,SSE,SE,9,11,63,29,1008.5,1006.5,,,16.9,25.9,No,0,No
2/8/12,Albury,12,28.9,0,,,NNW,28,NE,N,9,15,61,25,1011.2,1009.3,,,17.8,26.6,No,0,No
2/9/12,Albury,14.8,24.6,0,,,ENE,26,S,ESE,6,11,61,57,1012.2,1010,4,2,19.6,22.8,No,3.6,Yes
2/10/12,Albury,13.8,27.4,3.6,,,W,43,ESE,WNW,9,30,78,43,1010.8,1008.1,,8,18.7,22.9,Yes,0,No
2/11/12,Albury,11.5,27.8,0,,,S,35,SSE,WNW,9,11,69,42,1011.7,1009.2,,8,16.6,25.1,No,3.2,Yes
2/12/12,Albury,12,29.4,3.2,,,W,35,E,ENE,7,7,68,36,1014.6,1012.2,,8,18,27.2,Yes,0,No
2/13/12,Albury,13.5,29.7,0,,,SE,24,SE,S,11,11,61,30,1016.8,1014.5,,,19.6,28.1,No,0,No
2/14/12,Albury,14.7,31.4,0,,,NE,26,SSE,SE,15,11,60,34,1019.4,1016.4,,3,21.1,30,No,0,No
2/15/12,Albury,15,31.9,0,,,ENE,28,SE,N,7,6,65,31,1019.4,1015.6,,8,20.8,30.9,No,0.4,No
2/16/12,Albury,16.9,28.3,0.4,,,SE,30,ENE,SSE,7,13,83,63,1018,1017.2,8,8,18.4,23.6,No,0,No
2/17/12,Albury,17.6,31.3,0,,,NNW,31,SSW,SE,6,17,75,49,1015.7,1012.2,4,7,21,28.9,No,0,No
2/18/12,Albury,15.9,31.2,0,,,ESE,28,ENE,S,6,6,68,40,1016.2,1013.9,,,22,29.6,No,0,No
2/19/12,Albury,19.6,28,0,,,NE,26,ESE,SSE,11,15,62,54,1015.4,1013.3,2,,23.3,26.5,No,0,No
2/20/12,Albury,16.1,21.4,0,,,SE,39,SSE,WSW,4,13,82,86,1013.2,1013.3,7,8,19,20.5,No,1.4,Yes
2/21/12,Albury,13.5,28.9,1.4,,,S,31,SE,NNW,11,7,72,36,1012.6,1010.6,,8,19.3,27.7,Yes,0,No
2/22/12,Albury,14.5,30.5,0,,,NE,44,SSE,W,11,7,65,37,1015,1012.7,,3,19.5,28.4,No,0,No
2/23/12,Albury,13.7,32.4,0,,,WNW,31,,SW,0,17,73,29,1019.5,1017.6,,,18.4,30.5,No,0,No
2/24/12,Albury,14.2,34.5,0,,,SE,28,,ENE,0,11,65,27,1022.2,1019.3,,,19.8,32.9,No,0,No
2/25/12,Albury,15.2,36.1,0,,,N,31,,NNE,0,11,65,15,1021.4,1017.4,,,21.5,34.7,No,1.4,Yes
2/26/12,Albury,17.6,25.5,1.4,,,NE,37,SE,S,6,7,91,100,1018.3,1014.9,7,8,18.6,22,Yes,10.6,Yes
2/27/12,Albury,18.5,28,10.6,,,NNE,31,NNE,NE,13,11,88,67,1015.7,1013.2,8,8,21.9,26.9,Yes,38.4,Yes
2/28/12,Albury,18.8,26.6,38.4,,,NNE,48,NNE,SSW,4,2,100,64,1012,1010.3,8,,19.5,26.1,Yes,0.6,No
2/29/12,Albury,19.5,24.8,0.6,,,SSE,24,SSE,SE,7,11,74,69,1013,1011.1,,8,20.5,23.5,No,104.2,Yes
3/1/12,Albury,17.1,20.9,104.2,,,SE,57,N,SE,7,20,97,88,1002,1001.9,8,8,19.5,18.5,Yes,36.6,Yes
3/2/12,Albury,17,25.8,36.6,,,SE,48,SE,SE,13,24,60,46,1010.9,1011.3,8,7,19.1,25.2,Yes,0,No
3/3/12,Albury,18.8,19.6,0,,,NNE,52,SE,ESE,7,15,62,92,1014.2,1011.1,8,8,19.3,17.1,No,66,Yes
3/4/12,Albury,16.7,24.8,66,,,WSW,35,WNW,WNW,9,20,100,65,1009.3,1010.4,8,3,19.1,23.1,Yes,0,No
3/5/12,Albury,11.8,25.1,0,,,WNW,33,,W,0,22,85,44,1015.7,1014.8,,,16.3,24.2,No,0,No
3/6/12,Albury,12.4,26.2,0,,,SE,43,,ESE,0,9,79,50,1019,1017.3,7,4,16.7,24.8,No,0,No
3/7/12,Albury,15.8,23.2,0,,,SE,52,SE,SE,22,30,49,42,1023.2,1020.2,1,7,17.7,22.3,No,0,No
3/8/12,Albury,15.1,24.1,0,,,S,37,SW,SW,11,13,49,43,1015.8,1010.2,,8,18.3,23.2,No,0.4,No
3/9/12,Albury,12.1,27.1,0.4,,,WSW,37,,WNW,0,24,76,46,1011.1,1009.6,,4,16.7,26.1,No,0,No
3/10/12,Albury,10.8,25.9,0,,,W,28,,WNW,0,13,77,39,1014.3,1013.9,,,15.5,24.8,No,0,No
3/11/12,Albury,10,25.8,0,,,WNW,30,ENE,NW,7,11,87,41,1018.2,1015.9,,,14.9,24.8,No,0,No
3/12/12,Albury,13.1,27.8,0,,,NW,24,S,WNW,6,11,82,46,1018.7,1016.9,,8,16.7,26,No,0,No
3/13/12,Albury,13.7,29.9,0,,,NW,31,ESE,NNE,7,19,77,45,1019.2,1016.1,,8,18.4,28,No,0,No
3/14/12,Albury,15.5,29.3,0,,,NNW,31,,SE,0,13,77,61,1018,1014.8,,8,19.6,24.5,No,9.6,Yes
3/15/12,Albury,17.2,30,9.6,,,NNE,41,ESE,NNE,2,24,79,44,1014.4,1010.8,,2,20.8,28.5,Yes,19.2,Yes
3/16/12,Albury,19.2,20.4,19.2,,,SW,46,NNW,WNW,9,17,93,93,1010.5,1012.3,8,8,19.8,16.9,Yes,17.4,Yes
3/17/12,Albury,12.6,24.4,17.4,,,WNW,30,SSW,W,6,11,98,50,1016,1014.9,2,,14.5,23.8,Yes,0,No
3/18/12,Albury,10.4,25.5,0,,,SSE,28,S,ESE,9,6,68,46,1022.9,1020.9,,,15.9,23.6,No,0,No
3/19/12,Albury,11.6,26.3,0,,,NNE,30,SE,SSE,7,9,78,41,1024.3,1020.5,,,16,24.8,No,0,No
3/20/12,Albury,12.4,28.4,0,,,NE,30,ESE,NNE,7,15,74,47,1018.6,1013.1,,2,17.6,26.9,No,0,No
3/21/12,Albury,16.5,27.7,0,,,WNW,50,ENE,WNW,11,28,66,61,1007.9,1004.2,4,8,20.9,25.4,No,0,No
3/22/12,Albury,8.2,22.1,0,,,WNW,28,S,W,4,7,72,46,1008.7,1006.1,1,,12.6,21.5,No,0,No
3/23/12,Albury,11,18.3,0,,,W,54,NW,W,15,31,83,47,1006.9,1006.9,8,3,12.5,16.7,No,0.4,No
3/24/12,Albury,8.9,19.7,0.4,,,WSW,37,W,W,17,22,79,54,1015,1015.4,7,5,11.1,17.5,No,0,No
3/25/12,Albury,6.2,21,0,,,SSW,24,SSE,WNW,2,13,85,46,1022.4,1020.5,,,10.2,19.8,No,0,No
3/26/12,Albury,7.7,23,0,,,NNW,24,S,NW,4,17,90,45,1023,1020.6,,1,11.1,22.3,No,0,No
3/27/12,Albury,10.6,22,0,,,S,13,SSE,N,4,6,86,57,1022.7,1020.6,,,13.5,21.1,No,0,No
3/28/12,Albury,13.5,23.4,0,,,N,26,E,ESE,6,13,86,75,1021.1,1018.1,7,8,16.5,21.9,No,1.4,Yes
3/29/12,Albury,9.4,25.4,1.4,,,ESE,20,SSE,ESE,6,7,87,43,1020.6,1017.4,8,,13,24.3,Yes,0,No
3/30/12,Albury,11,26.5,0,,,E,22,E,NNE,6,9,81,44,1019.2,1016,,1,15.1,25.5,No,0,No
3/31/12,Albury,10.2,27.6,0,,,NE,28,,NE,0,17,82,40,1019.1,1015.6,,,15.5,26.7,No,0,No
4/1/12,Albury,12.6,26.3,0,,,WSW,28,,WNW,0,15,74,47,1017.8,1015.1,,8,19.2,25.2,No,0,No
4/2/12,Albury,11.1,25.9,0,,,NNE,24,,NNW,0,9,78,42,1017.6,1014.6,,,17.6,25.5,No,0,No
4/3/12,Albury,12.9,29.9,0,,,NNE,30,ESE,N,9,13,75,41,1015.6,1012,7,2,18.4,29.1,No,0,No
4/4/12,Albury,13.1,28.1,0,,,SE,17,ESE,SSE,4,4,78,52,1016.3,1013.9,,,19.4,27.2,No,0,No
4/5/12,Albury,12.7,28.5,0,,,ESE,19,E,SSW,2,7,78,51,1019.5,1016.4,,,19.6,27.8,No,0,No
4/6/12,Albury,14.5,28.6,0,,,WNW,57,ESE,NNE,7,17,81,51,1018.1,1013.2,,5,20.1,28,No,0,No
4/7/12,Albury,10.1,20.4,0,,,W,43,SW,WNW,20,19,59,41,1020.8,1018.8,,,14.1,19.9,No,0,No
4/8/12,Albury,5.4,19.1,0,,,WSW,35,,W,0,22,83,45,1019.7,1016,,2,12,18.2,No,0,No
4/9/12,Albury,5,18.6,0,,,W,56,W,WSW,11,30,81,58,1019.2,1018.2,8,8,12,14.6,No,0,No
4/10/12,Albury,1,17.5,0,,,WSW,22,SSE,WNW,6,9,68,37,1030.2,1028.9,,2,8.9,16.9,No,0,No
4/11/12,Albury,3,20.1,0,,,SSW,20,WSW,ENE,4,6,68,34,1034.1,1031,,,10,19,No,0,No
4/12/12,Albury,4.3,21.7,0,,,WNW,22,SSE,WSW,4,13,79,35,1035.1,1031.1,,,11.3,21,No,0,No
4/13/12,Albury,4.8,22.7,0,,,S,15,,S,0,7,78,33,1033,1028.1,,,13.1,21.9,No,0,No
4/14/12,Albury,6.7,19.8,0,,,SE,15,,SE,0,9,82,63,1028,1023.9,,1,11.8,19.6,No,0,No
4/15/12,Albury,9.4,25.4,0,,,ENE,17,S,NNE,4,7,81,38,1026.4,1022.3,,3,15.2,25.1,No,0,No
4/16/12,Albury,8.2,26.2,0,,,SW,19,ENE,SSW,6,11,79,36,1025.6,1022.3,,1,15.5,25.8,No,0,No
4/17/12,Albury,9.9,24.9,0,,,SSE,24,,SSE,0,19,71,38,1025.8,1022,,,17.4,24.5,No,0,No
4/18/12,Albury,13.7,26.2,0,,,ESE,30,SSE,SSE,17,15,66,48,1022.1,1018.3,1,,19.7,26,No,0.8,No
4/19/12,Albury,16.9,21.4,0.8,,,NE,24,ESE,E,2,17,80,76,1018.4,1015.8,8,4,18.3,20.5,No,34.2,Yes
4/20/12,Albury,14.6,22.7,34.2,,,SW,19,SSE,E,7,2,100,62,1017.3,1014.7,8,1,15.7,21.9,Yes,0,No
4/21/12,Albury,11.2,25.4,0,,,NNE,43,SE,SE,7,6,86,50,1016.5,1012.1,,,17,25.3,No,1.4,Yes
4/22/12,Albury,14,23,1.4,,,NE,43,NNE,NNE,7,20,95,57,1012.7,1008.7,8,8,16.4,21.8,Yes,8.2,Yes
4/23/12,Albury,12.2,22.5,8.2,,,WSW,39,,NNW,0,19,95,42,1011,1008.6,4,1,16.9,22.4,Yes,0.8,No
4/24/12,Albury,10,14.2,0.8,,,WNW,35,W,W,17,15,84,79,1014.2,1013.5,8,8,10.3,11.2,No,1,No
4/25/12,Albury,7.3,17,1,,,WNW,39,W,W,26,22,81,63,1015.1,1013.6,4,7,9.8,16.8,No,0,No
4/26/12,Albury,5,17,0,,,NW,19,WSW,NW,6,11,95,63,1021.9,1019.4,8,,9.5,16.7,No,0,No
4/27/12,Albury,5.5,19.6,0,,,W,19,WNW,WNW,4,7,100,58,1023,1021.2,8,6,9.4,19.2,No,0,No
4/28/12,Albury,5.4,19.6,0,,,W,26,,WNW,0,17,100,56,1022.9,1019.2,8,,10.3,19.2,No,0,No
4/29/12,Albury,4.6,18.4,0,,,SSE,26,ENE,SSE,4,11,97,47,1023.3,1020.7,5,,10.2,17.8,No,0,No
4/30/12,Albury,4.4,19.9,0,,,ENE,30,SE,NE,6,11,79,50,1026.2,1022.8,,1,10.4,19.4,No,0,No
5/1/12,Albury,6.8,20.7,0,,,E,24,,E,0,15,93,56,1025.5,1021.3,7,7,11.3,19.8,No,0,No
5/2/12,Albury,7.6,16.3,0,,,W,30,NE,WNW,17,22,94,89,1021.7,1019.5,7,8,14.2,15.8,No,1.6,Yes
5/3/12,Albury,2,14.7,1.6,,,W,30,W,WNW,19,20,80,53,1022.9,1020.8,,1,8.1,13.8,Yes,0,No
5/4/12,Albury,3.5,15.7,0,,,W,28,SSE,W,2,19,87,56,1023.3,1020.4,,1,8.6,14.9,No,0,No
5/5/12,Albury,3.2,15.5,0,,,WNW,28,,W,0,11,100,65,1021.1,1017.1,8,,7,14.7,No,0,No
5/6/12,Albury,4.1,13.3,0,,,WSW,17,ENE,ENE,7,13,100,71,1018.6,1017.8,8,8,6.9,12.6,No,0,No
5/7/12,Albury,4,14.5,0,,,ESE,20,WSW,E,4,11,99,68,1021.1,1017.5,8,5,8,13.8,No,0,No
5/8/12,Albury,5.5,20.3,0,,,NE,28,,NE,0,13,91,49,1019.6,1016,8,1,9,20,No,0,No
5/9/12,Albury,7.2,17,0,,,WSW,26,S,SE,4,7,92,72,1021.1,1019,8,5,11.7,16.3,No,0.4,No
5/10/12,Albury,7.5,21.4,0.4,,,S,13,,S,0,7,100,56,1022.8,1019.5,5,7,12.5,21,No,0,No
5/11/12,Albury,6.2,19.5,0,,,W,33,,WNW,0,19,93,64,1019.5,1016.7,,8,10.9,17.3,No,0,No
5/12/12,Albury,1,14.7,0,,,W,35,E,SW,6,19,84,53,1020.2,1018.1,,8,8.2,13.3,No,0,No
5/13/12,Albury,6.4,14.8,0,,,W,43,W,WSW,24,20,81,56,1015.9,1016.2,5,6,9.2,13.6,No,0,No
5/14/12,Albury,-0.4,15.5,0,,,ENE,17,NE,NNW,2,4,81,46,1025.2,1024.3,,,5.4,14.3,No,0,No
5/15/12,Albury,0.4,17.5,0,,,WSW,17,N,NW,2,6,84,52,1027,1024.1,,,7.5,17.2,No,0,No
5/16/12,Albury,3.2,17,0,,,E,17,,ENE,0,9,94,58,1026.5,1023.7,8,2,7.6,16.4,No,0,No
5/17/12,Albury,2.3,16.7,0,,,ESE,13,,ESE,0,7,100,51,1026.3,1022.7,7,,5.7,15.5,No,0,No
5/18/12,Albury,2.3,15.3,0,,,NE,13,E,E,6,7,94,65,1025.9,1023,,,6.9,14.8,No,0,No
5/19/12,Albury,2.6,17.8,0,,,NE,17,,SE,0,7,97,59,1025.3,1022.5,8,,7.2,16.6,No,0,No
5/20/12,Albury,1.9,17.2,0,,,N,17,,N,0,9,100,50,1027.1,1024.1,8,,6.1,15.9,No,0,No
5/21/12,Albury,0.9,15,0,,,W,13,,,0,0,100,59,1026.2,1022.9,8,5,5,13.3,No,0,No
5/22/12,Albury,1.9,15.6,0,,,ENE,22,,NNE,0,9,90,54,1025.3,1021.7,8,7,6.8,15.2,No,0,No
5/23/12,Albury,4.2,19.9,0,,,NNE,33,E,NNE,4,20,78,38,1022.3,1017.4,7,,10.7,19.4,No,0,No
5/24/12,Albury,7.8,17,0,,,ENE,24,E,S,4,11,82,96,1017.5,1015.2,2,8,10.9,11.8,No,29.4,Yes
5/25/12,Albury,5.5,9.4,29.4,,,W,59,NNW,NNW,19,22,87,86,1011.4,1008.6,8,8,7.6,8.6,Yes,6,Yes
5/26/12,Albury,6.7,13.2,6,,,WNW,35,WNW,WNW,13,13,95,79,1016.1,1015.3,7,8,7.9,12.2,Yes,0.4,No
5/27/12,Albury,5.7,15.4,0.4,,,W,20,S,W,2,13,100,63,1023.5,1022.2,8,1,7,15,No,0.2,No
5/28/12,Albury,1.9,15.9,0.2,,,SE,17,S,WSW,4,11,97,57,1028.7,1027.1,,,6.1,15.2,No,0,No
5/29/12,Albury,1.7,17.4,0,,,W,15,,W,0,9,92,56,1033.8,1031.9,,,7.3,16.4,No,0,No
5/30/12,Albury,2.1,18.2,0,,,SSW,11,S,,4,0,100,57,1036.5,1032.5,8,,5.8,16.3,No,0,No
5/31/12,Albury,1.1,16.1,0,,,E,13,NW,SE,6,4,100,63,1034.4,1030.9,7,,5.7,15.6,No,0,No
6/1/12,Albury,3.5,16.3,0,,,ESE,11,SSE,E,4,2,100,56,1030.1,1025.9,,,7.9,15.8,No,0,No
6/2/12,Albury,2.2,14.6,0,,,NE,11,,,0,0,94,60,1023.9,1019.2,,,6,13.9,No,3.6,Yes
6/3/12,Albury,5.7,13.7,3.6,,,SSE,31,SE,SSE,9,9,84,72,1016.5,1012.6,7,8,9.7,13.4,Yes,0,No
6/4/12,Albury,4.8,14.5,0,,,W,35,WSW,W,9,19,100,86,1008.4,1005.1,8,8,6.3,10.8,No,6,Yes
6/5/12,Albury,6.2,16,6,,,SE,65,S,SE,20,28,63,52,1003.3,1008.5,,,14.3,14.8,Yes,0,No
6/6/12,Albury,-1,15.1,0,,,WNW,20,,WSW,0,11,85,50,1020.9,1020.8,,,6,14.6,No,0,No
6/7/12,Albury,0.1,14.3,0,,,SSW,17,,S,0,4,80,52,1026.2,1024,,,4.7,13.4,No,0.2,No
6/8/12,Albury,-0.8,13.9,0.2,,,WSW,13,S,NNW,4,4,96,54,1027.5,1025.5,,,3.2,13.3,No,0,No
6/9/12,Albury,0,14.8,0,,,NE,11,S,SE,2,6,100,64,1028.2,1025.2,7,5,3,12.5,No,0,No
6/10/12,Albury,0.2,15.6,0,,,S,13,,SSW,0,6,100,50,1027.5,1024.4,8,1,4,15.1,No,0,No
6/11/12,Albury,-0.3,15.9,0,,,SSE,15,,SSE,0,7,84,52,1026.2,1022.2,,,5.7,14.5,No,0.2,No
6/12/12,Albury,0.4,16.4,0.2,,,NNW,11,,SE,0,7,81,53,1023.5,1020.4,,,6.3,15.1,No,0,No
6/13/12,Albury,0.2,15.2,0,,,SE,13,ENE,ESE,2,7,85,60,1022.9,1019.7,,,6.3,15.1,No,0,No
6/14/12,Albury,2.3,16.7,0,,,ENE,43,E,NE,6,17,97,65,1018.2,1013.8,7,8,7.3,15.4,No,0,No
6/15/12,Albury,7.3,15.6,0,,,NE,28,ENE,W,2,9,83,59,1014.6,1013.5,3,,11.6,13.9,No,0,No
6/16/12,Albury,1.4,10.3,0,,,SE,20,NNW,E,4,6,98,86,1017.5,1015,8,7,5.5,9.9,No,0,No
6/17/12,Albury,4.4,11.6,0,,,W,26,NW,NNW,9,13,93,89,1020.9,1020.5,8,7,8.8,10.2,No,0,No
6/18/12,Albury,1.3,12.7,0,,,W,22,,WNW,0,11,96,75,1024.7,1023.5,,8,5.6,11.3,No,2.8,Yes
6/19/12,Albury,5.6,14.2,2.8,,,W,28,NW,W,17,15,87,53,1022.2,1021,1,,10.8,13.7,Yes,0,No
6/20/12,Albury,-1.3,11.7,0,,,NE,20,,NE,0,13,100,64,1023.5,1018.8,8,7,3,11.4,No,0.6,No
6/21/12,Albury,3,13.8,0.6,,,N,35,NE,NNE,9,17,83,59,1013.4,1007.8,8,8,10.2,13.7,No,5.2,Yes
6/22/12,Albury,7.5,9.7,5.2,,,NNW,44,NNW,WNW,15,15,91,90,1006.6,1009,8,8,8.4,8.9,Yes,0.8,No
6/23/12,Albury,-1.7,10.6,0.8,,,NNW,24,SE,NW,4,17,100,68,1025.1,1025.3,8,8,0.3,10.4,No,0.4,No
6/24/12,Albury,0.2,11.3,0.4,,,W,24,NNW,WNW,9,9,98,89,1031.1,1029.9,8,8,8,10.9,No,1.4,Yes
6/25/12,Albury,3.1,13.3,1.4,,,W,28,NE,W,9,20,100,81,1031,1028.4,8,8,7.7,12,Yes,1,No
6/26/12,Albury,2.4,14.3,1,,,SE,22,,SE,0,7,100,67,1031.2,1028.6,,8,6.8,12.8,No,0,No
6/27/12,Albury,1.8,13.7,0,,,SE,15,,SE,0,7,93,67,1031.3,1027.7,8,8,6.1,13.1,No,0,No
6/28/12,Albury,1.2,12.3,0,,,ENE,15,,SE,0,7,100,74,1025.5,1019.4,8,7,5.5,11.8,No,3.8,Yes
6/29/12,Albury,5.5,15.5,3.8,,,WNW,35,,N,0,19,100,68,1013.7,1008.8,7,8,9.9,14.8,Yes,4.6,Yes
6/30/12,Albury,0.6,11.7,4.6,,,NW,39,,NNW,0,19,100,68,1013.6,1011.6,8,8,4.3,11.1,Yes,3.8,Yes
7/1/12,Albury,3.7,9.6,3.8,,,NW,26,N,WNW,7,9,100,91,1016.2,1014.7,8,8,6.5,8.2,Yes,4.6,Yes
7/2/12,Albury,6.4,12.3,4.6,,,WNW,28,W,W,15,17,97,74,1020.2,1020,8,,7.5,12,Yes,0,No
7/3/12,Albury,0.3,12.6,0,,,W,24,W,WNW,6,15,100,67,1024.7,1022.1,7,,4.2,12.3,No,0.2,No
7/4/12,Albury,-0.2,13.9,0.2,,,WNW,17,SW,S,6,6,100,47,1029.3,1028.6,8,,3,12.2,No,0.2,No
7/5/12,Albury,-1,14.2,0.2,,,SE,17,,E,0,7,83,48,1035.2,1033.2,,,3.5,12.7,No,0,No
7/6/12,Albury,-2,12.9,0,,,ESE,13,,SSE,0,2,87,53,1036.5,1032.9,,,3.7,12.9,No,0,No
7/7/12,Albury,-2.5,13.3,0,,,SSE,17,,SE,0,7,94,58,1034.4,1030.7,,,2.9,12.8,No,0.2,No
7/8/12,Albury,-1.6,13.7,0.2,,,NE,17,,SE,0,7,91,59,1032.1,1027.8,,,4.1,13.6,No,0,No
7/9/12,Albury,0.2,15.1,0,,,E,24,,SE,0,9,95,60,1029,1024.2,1,1,5.2,14.3,No,2.4,Yes
7/10/12,Albury,5.2,11.9,2.4,,,ENE,44,SSE,NE,7,22,95,97,1020.8,1015.6,7,8,9.1,11.2,Yes,27.2,Yes
7/11/12,Albury,9,14,27.2,,,NNW,39,N,NNE,15,15,87,73,1019.1,1017.8,2,3,10.8,13,Yes,0,No
7/12/12,Albury,3.8,12.6,0,,,NNE,28,,SE,0,11,100,90,1015.7,1010.6,,7,7.1,11.4,No,15.4,Yes
7/13/12,Albury,7.1,15.8,15.4,,,NW,24,NNE,WNW,6,13,100,81,1009.3,1008.5,7,8,12.5,14.3,Yes,14.2,Yes
7/14/12,Albury,9.8,14.5,14.2,,,WNW,48,N,NW,11,19,97,72,1012.1,1010.2,7,7,10.3,13,Yes,9.4,Yes
7/15/12,Albury,6.4,11.3,9.4,,,NW,33,W,WNW,17,17,89,64,1020.4,1021.6,7,8,7.2,10.2,Yes,2.8,Yes
7/16/12,Albury,7.2,12.4,2.8,,,N,22,NNE,N,7,15,94,89,1028.6,1027.2,8,8,10.1,12,Yes,0.4,No
